,A薬品庫右,A薬品庫左,B薬品庫,冷蔵①,冷蔵②,冷蔵③,冷蔵④,冷蔵⑤,冷蔵⑥,冷凍,D薬品庫,無水箱,個人所有,その他,3階試薬庫,none,メーカー名,規格名,CAS No.,内容量,内容量単位,未開封,開封,SMILES,構造式,官能基,,薬品名（日本語Ⅰ）,薬品名（日本語Ⅱ）,薬品名（日本語Ⅲ）,薬品名（英語Ⅰ）,薬品名（英語Ⅱ）,薬品名（英語Ⅲ）,メーカー（日本語）,メーカー（英語）,規格（日本語）,規格（英語）,内容量,内容量単位（日本語）,内容量単位（英語）,比重,保存方法（日本語）,保存方法（英語）,廃棄区分（日本語）,廃棄区分（英語）,PRTR 種別（薬品）,PRTR 管理番号（薬品）,PRTR 含有率（%）（薬品）,CAS No.,薬品ラベルバーコードNo.,製品番号,標準価格（円）,示性式,容器区分（日本語）,容器区分（英語）,形状,純度規格,式量,物性,管理方法（日本語）,管理方法（英語）,管理方法単位（日本語）,管理方法単位（英語）,計量方法（日本語）,計量方法（英語）,計量方法単位（日本語）,計量方法単位（英語）,入力方法（日本語）,入力方法（英語）,使用期限・未開封（年）,使用期限・未開封（日）,使用期限・開封（年）,使用期限・開封（日）,オリジナルワード,SDS（英語）,構造式（日本語）,構造式（英語）,分子式,増減許容値（+）,増減許容値（+）単位（日本語）,増減許容値（+）単位（英語）,増減許容値（-）,増減許容値（-）単位（日本語）,増減許容値（-）単位（英語）,増減許容値（%+）,増減許容値（%-）
イソフタル酸,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ナカライテスク（株）,ＥＰ, 121-91-5,25,g,1,0,,,,,イソフタル酸,,,Isophthalic Acid,,,ナカライテスク（株）,,ＥＰ,,25,g,g,1,-,-,-,-,,,, 121-91-5,1621M,1962222,1800,C6H4(COOH)2,,,,≧95.0%(T),166.13,mp. 342～343℃ ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
イソフタル酸 (25g),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),和光一級, 121-91-5,25,g,1,0,,,,,イソフタル酸 (25g),,,Isophthalic Acid,,,富士フイルム和光純薬(株),,和光一級,,25,g,g,1.54,室温,,-,-,,,, 121-91-5,4.99E+12,097-01832,2420,C6H4(COOH)2,,,,95+%(Capillary GC),,mp. 345℃ ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
イソブチロニトリル (25mL),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),和光一級, 78-82-0,25,ml,1,0,,,,,イソブチロニトリル (25mL),,,Isobutyronitrile,,,富士フイルム和光純薬(株),,和光一級,,25,ml,ml,0.77,室温,,-,-,,,, 78-82-0,4.99E+12,021-04013,3630,(CH3)2CHCN,,,,97+%(Capillary GC),,mp. -75℃ bp. 約108℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
イソプレン,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 78-79-5,25,ml,1,0,,,,,イソプレン,,,Isoprene(stabilized with TBC),,,東京化成工業株式会社,,-,-,25,ml,ml,0.68,冷蔵貯蔵,,-,-,1,36,100, 78-79-5,GP0KM,I0160,2400,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
ｲｿﾌﾟﾛﾋﾟﾙ ｱﾙｺ-ﾙ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,高橋藤吉商店,溶媒, 67-63-0,500,ml,1,0,,,,,ｲｿﾌﾟﾛﾋﾟﾙ ｱﾙｺ-ﾙ,,,Isopropyl Alcohol,,,高橋藤吉商店,,溶媒,,500,ml,ml,0.79,-,-,-,-,,,, 67-63-0,,,1900,,ガラスビン,,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,10,,,,ｙ,,,,,,,,,,,,
イトプリド塩酸塩 (5g),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,和光純薬工業(株),生化学用, 122892-31-3,5,g,1,0,,,,,イトプリド塩酸塩 (5g),,,Itopride Hydrochloride,,,和光純薬工業(株),,生化学用,,5,g,g,1,冷蔵貯蔵,,,,,,, 122892-31-3,4.55E+12,099-06593,79000,C20H26N2O4・HCl,,,,90+%,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
イブプロフェン,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 15687-27-1,25,g,1,0,,,,,イブプロフェン,,,Ibuprofen,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 15687-27-1,GW1KG,I0415,10900,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
イミダゾール,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 288-32-4,25,g,0,1,,,,,イミダゾール,,,Imidazole,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 288-32-4,GLLKG,I0001,2100,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
インジウム,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aldrich,-, 7440-74-6,5,g,1,1,,,,,インジウム,,,"INDIUM, POWDER, -100 MESH, 99.99%",,,Aldrich,,-,-,5,g,g,1,室温,,-,-,1,44,100, 7440-74-6,,264032,,,-,-,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
インドメタシン,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 53-86-1,25,g,2,0,,,,,インドメタシン,,,Indomethacin,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 53-86-1,SADKG,I0655,6300,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
ウラシル,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 66-22-8,25,g,2,0,,,,,ウラシル,,,Uracil,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 66-22-8,LPWKG,U0013,2900,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
ウラニン,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 518-47-8,25,g,1,0,,,,,ウラニン,,,Uranine,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 518-47-8,FMNKG,F0096,2600,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エカベトナトリウム水和物 (10g),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,和光純薬工業(株),生化学用, 219773-47-4,10,g,1,0,,,,,エカベトナトリウム水和物 (10g),,,Ecabet Sodium Hydrate,,,和光純薬工業(株),,生化学用,,10,g,g,1,室温,,,,,,, 219773-47-4,4.55E+12,057-08511,8000,C20H27NaO5S・5H2O,,,,90+%(無水物換算),,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エタノール(99.5),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,上野化学工業株式会社,一級, 64-17-5,500,ml,1,0,,,,,エタノール(99.5),,,,,,上野化学工業株式会社,,一級,,500,ml,ml,1,-,-,-,-,,,, 64-17-5,,,,,ガラスビン,,,,46.07,,単位管理,Unit Management,－,－,-,-,,,-,-,0,,99,99,,,,,C2／H6／O1,,,,,,,,
エタノール(超脱水)(99.5) (500mL),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),有機合成用, 64-17-5,500,ml,2,0,,,,,エタノール(超脱水)(99.5) (500mL),,,"Ethanol, Super Dehydrated (99.5)",,,富士フイルム和光純薬(株),,有機合成用,,500,ml,ml,0.79,室温,,-,-,,,, 64-17-5,4.55E+12,050-08425,5750,C2H5OH,,,,99.5+%(Capillary GC),,mp. -117℃ bp. 約78℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エタノール-D1 (重水素化率 99.5%以上) NMR用 マグニソルブ(TM),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Merck,, 925-93-9,50,ml,1,0,,,,,エタノール-D1 (重水素化率 99.5%以上) NMR用 マグニソルブ(TM),,,Ethanol-D1 deuteration degree min. 99.5% for NMR spectroscopy MagniSolv(TM),ETHANOL-D1 DEUTERATION DEGREE MIN. 99.5% FOR NMR SPECTROSCOPY MAGNISOLV(TM),,Merck,,,,50,ml,ml,0.79,-,-,-,-,,,, 925-93-9,,815037,19300,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エタンスルホン酸,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 594-45-6,25,g,1,0,,,,,エタンスルホン酸,,,Ethanesulfonic Acid,,,東京化成工業株式会社,,-,-,25,g,g,1.34,-,-,-,-,,,, 594-45-6,E85KG,E0033,10400,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エチルベンゼン,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 100-41-4,25,ml,1,0,,,,,エチルベンゼン,,,Ethylbenzene,,,東京化成工業株式会社,,-,-,25,ml,ml,0.87,-,-,-,-,1,53,100, 100-41-4,E90KM,E0064,2200,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エチレングリコール,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 107-21-1,25,g,1,0,,,,,エチレングリコール,,,Ethylene Glycol,,,東京化成工業株式会社,,-,-,25,g,g,1.12,-,-,-,-,,,, 107-21-1,FA5KG,E0105,2200,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
ｴﾁﾚﾝｼﾞｱﾐﾝ(無水),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,関東化学株式会社,鹿特級, 107-15-3,500,ml,1,0,,,,,ｴﾁﾚﾝｼﾞｱﾐﾝ(無水),"1,2-ｼﾞｱﾐﾉｴﾀﾝ",,"Ethylenediamine, anhydrous","1,2-Diaminoethane",,関東化学株式会社,"Kanto Chemical Co., Inc.",鹿特級,,500,ml,ml,0.9,-,-,-,-,1,59,100, 107-15-3,1409000E,14090-00,2900,NH2CH2CH2NH2,ガラスビン,,,>99.0%(T),60.0988,bp.116℃～117℃ mp.8.5℃ d(20℃) 0.90 Fp.34℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,C2／H8／N2,,,,,,,,
エトドラク,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 41340-25-4,5,g,2,0,,,,,エトドラク,,,Etodolac,,,東京化成工業株式会社,,-,-,5,g,g,1,冷蔵貯蔵,,-,-,,,, 41340-25-4,WKKEG,E0858,6500,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エトドラク,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 41340-25-4,25,g,1,0,,,,,エトドラク,,,Etodolac,,,東京化成工業株式会社,,-,-,25,g,g,1,冷蔵貯蔵,,-,-,,,, 41340-25-4,WKKKG,E0858,21200,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エノキサシン1.5水和物,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 84294-96-2,25,g,2,0,,,,,エノキサシン1.5水和物,,,EnoxacinSesquihydrate,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 84294-96-2,T45KG,E0762,25300,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エパルレスタット,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 82159-09-9,5,g,1,0,,,,,エパルレスタット,,,Epalrestat,,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 82159-09-9,XRHEG,E0906,16200,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エピアンドロステロン,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 481-29-8,1,g,1,0,,,,,エピアンドロステロン,,,Epiandrosterone,,,東京化成工業株式会社,,-,-,1,g,g,1,-,-,-,-,,,, 481-29-8,FIMBG,E0374,5700,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エラグ酸二水和物,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 133039-73-3,5,g,1,0,,,,,エラグ酸二水和物,,,Ellagic AcidDihydrate,,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 133039-73-3,FINEG,E0375,10000,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エリスロマイシン,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 114-07-8,5,g,1,0,,,,,エリスロマイシン,,,Erythromycin,,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 114-07-8,TY5EG,E0751,6800,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エリスロマイシン (25g),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),-, 114-07-8,25,g,1,0,,,,,エリスロマイシン (25g),,,Erythromycin,,,富士フイルム和光純薬(株),,-,-,25,g,g,1,冷蔵貯蔵,,-,-,,,, 114-07-8,4.99E+12,055-07152,25600,C37H67NO13,,,,70+%(HPLC)(as erythr,,mp. 136 - 140℃ ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
エンロフロキサシン,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 93106-60-6,25,g,1,0,,,,,エンロフロキサシン,,,Enrofloxacin,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 93106-60-6,UVSKG,E0786,14900,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
オキサシリンナトリウム一水和物 (5g),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,和光純薬工業(株),生化学用, 7240-38-2,5,g,1,0,,,,,オキサシリンナトリウム一水和物 (5g),,,Oxacillin Sodium Monohydrate,,,和光純薬工業(株),,生化学用,,5,g,g,1,冷蔵貯蔵,,-,-,,,, 7240-38-2,4.99E+12,150-02133,10000,C19H18N3NaO5S･H2O,-,-,白色～ほとんど白色の結晶粉末,,441.44,mp. 188℃ (dec.) ,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
オキサミド,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 471-46-5,25,g,1,0,,,,,オキサミド,,,Oxamide,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 471-46-5,IEEKG,O0086,1900,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
ｵｷｻﾘﾙ ｸﾛﾘﾄﾞ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,有機合成用, 79-37-8,25,g,1,0,,,,,ｵｷｻﾘﾙ ｸﾛﾘﾄﾞ,,,Oxalyl Chloride,,,東京化成工業株式会社,,有機合成用,,25,g,g,1.48,冷凍貯蔵,,-,-,,,, 79-37-8,IEAKG,O0082,3500,,アンプル,,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,10,,,,fzx,,,,C2／Cl2／O2,,,,,,,,
オキサルジヒドラジド,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ACROS ORGANICS,-, 996-98-5,25,g,1,0,,,,,オキサルジヒドラジド,,,Oxalyl dihydrazide,,,ACROS ORGANICS,,-,-,25,g,g,1,冷暗貯蔵,,-,-,,,, 996-98-5,157511AU,157510250,5600,C2H6N4O2,-,-,,,118.09,mp 240 ℃(dec.),単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,C2／H6／N4／O2,,,,,,,,
オクタフルオロシクロペンテン,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 559-40-0,10,g,4,0,,,,,オクタフルオロシクロペンテン,,,Octafluorocyclopentene,,,東京化成工業株式会社,,-,-,10,g,g,1,冷蔵貯蔵,,含ハロゲン（Ｆ，Ｃｌ，Ｂｒ，Ｉ）,,,,, 559-40-0,PHTPG,O0292,14500,,-,-,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,1,0,1,0,,,,,C5／F8,,,,,,,,
オフロキサシン,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 82419-36-1,5,g,1,0,,,,,オフロキサシン,,,Ofloxacin,,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 82419-36-1,YVYEG,O0403,10300,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
オレイン酸,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 112-80-1,5,ml,1,0,,,,,オレイン酸,,,Oleic Acid,,,東京化成工業株式会社,,-,-,5,ml,ml,0.89,冷蔵貯蔵,,-,-,,,, 112-80-1,IG0EM,O0180,6700,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
オロチン酸一水和物,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 50887-69-9,25,g,2,0,,,,,オロチン酸一水和物,,,Orotic AcidMonohydrate,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 50887-69-9,IDTKG,O0065,2000,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
ｶﾞﾁﾌﾛｷｻｼﾝ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Thermo Fisher Scientific Inc.,-, 112811-59-3,1,g,1,0,,,,,ｶﾞﾁﾌﾛｷｻｼﾝ,,,Gatifloxacin,,,Thermo Fisher Scientific Inc.,,-,-,1,g,g,1,冷凍保存 -20℃以下,,-,-,,,, 112811-59-3,,46023-1A,10890,C19H22FN3O4,-,-,,,375.3935,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,C19／F1／H22／N3／O4,,,,,,,,
カテコール,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 120-80-9,500,g,2,0,,,,,カテコール,,,Catechol,,,東京化成工業株式会社,,-,-,500,g,g,1,-,-,-,-,1,343,100, 120-80-9,IX5YG,P0567,10400,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
カフェイン,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 58-08-2,25,g,1,0,,,,,カフェイン,,,Caffeine,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 58-08-2,SAAKG,C2042,1900,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
カフェイン一水和物 (25g),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),和光特級, 5743-12-4,25,g,1,0,,,,,カフェイン一水和物 (25g),,,Caffeine Monohydrate,,,富士フイルム和光純薬(株),,和光特級,,25,g,g,1,室温,,-,-,,,, 5743-12-4,4.99E+12,034-06782,2550,C8H10N4O2・H2O,,,,99+%(HPLC),,mp. 235～238℃ (乾燥後) ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
カフェイン酸,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 331-39-5,5,g,1,0,,,,,カフェイン酸,,,Caffeic Acid,,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 331-39-5,CI6EG,C0002,3700,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
カプサイシン (1g),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),和光一級, 404-86-4,1,g,1,0,,,,,カプサイシン (1g),,,Capsaicin,,,富士フイルム和光純薬(株),,和光一級,,1,g,g,1,冷蔵貯蔵,,-,-,,,, 404-86-4,4.99E+12,030-11353,7350,C18H27NO3,,,,93+%(HPLC)(カプサイ,,mp. 62～66℃ bp. 210～220℃  (0.01mmHg),単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
カリウム tert-ブトキシド,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 865-47-4,25,g,1,0,,,,,カリウム tert-ブトキシド,,,Potassium tert-Butoxide,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 865-47-4,JAEKG,P1008,2000,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
カルバクロール,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 499-75-2,25,g,1,0,,,,,カルバクロール,,,Carvacrol,,,東京化成工業株式会社,,-,-,25,g,g,0.98,-,-,-,-,,,, 499-75-2,CJUKG,C0026,4000,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
カルバゾール,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 86-74-8,25,g,1,0,,,,,カルバゾール,,,Carbazole,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 86-74-8,CJ0KG,C0032,3000,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
カルバゾクロム (5g),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,和光純薬工業(株),生化学用, 69-81-8,5,g,1,0,,,,,カルバゾクロム (5g),,,Carbazochrome,,,和光純薬工業(株),,生化学用,,5,g,g,1,室温,,,,,,, 69-81-8,4.99E+12,039-13643,5000,C10H12N4O3,,,,98+%(HPLC),,mp. 約222℃ (dec.) ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
